City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,moradabad,28.8333,78.7833,16.66,36,0,1.64,IN,1702352538
197,turkmenbasy,40.0222,52.9552,-3.57,54,75,8.75,TM,1702352539
198,borovichi,58.3878,33.9155,-6.1,92,100,4.92,RU,1702352539
199,vorgashor,67.5833,63.95,-16.87,94,100,6.9,RU,1702352539
200,itaituba,-4.2761,-55.9836,24.09,94,20,1.54,BR,1702352539
201,simpang,-1.2667,104.0833,28.65,73,88,2.24,ID,1702352540
202,newman,37.3138,-121.0208,9.19,69,8,0.89,US,1702352540
203,wotho,10.1657,166.0102,27.51,78,39,9.35,MH,1702352540
204,pajapan,18.25,-94.7,19.2,84,100,2.96,MX,1702352541
205,pierre,44.3683,-100.351,0.48,75,0,4.63,US,1702352541
206,smithfield,41.922,-71.5495,3.03,67,0,6.69,US,1702352448
207,kiunga,-6.1219,141.2906,33.65,50,72,1.81,PG,1702352542
208,shiyan,32.6475,110.7781,5.1,87,100,2.18,CN,1702352542
209,collipulli,-37.95,-72.4333,9.22,90,86,2.28,CL,1702352542
210,vernon,50.2581,-119.2691,2.09,91,63,0.0,CA,1702352542
211,sinop,41.7711,34.8709,6.71,87,99,0.38,TR,1702352542
212,ulanhot,46.0833,122.0833,-15.16,56,98,2.03,CN,1702352542
213,morehead city,34.7229,-76.726,7.21,83,0,2.06,US,1702352542
214,kourou,5.1552,-52.6478,25.03,90,30,2.65,GF,1702352543
215,vila velha,-20.3297,-40.2925,26.08,81,0,4.02,BR,1702352410
216,mana,5.6592,-53.7767,25.35,92,27,2.96,GF,1702352543
217,fenghua,29.6563,121.4064,6.94,81,100,7.0,CN,1702352543
218,acajutla,13.5928,-89.8275,28.15,59,44,4.96,SV,1702352293
219,roma,43.2128,-75.4557,1.01,72,100,2.57,US,1702352544
220,trairi,-3.2778,-39.2689,25.95,78,6,4.29,BR,1702352544
221,nguruka,-5.1092,31.0419,19.02,96,100,1.05,TZ,1702352544
222,flying fish cove,-10.4217,105.6791,27.82,74,40,4.12,CX,1702352544
223,souillac,-20.5167,57.5167,26.21,78,75,3.6,MU,1702352544
224,chemolgan,43.1897,76.5292,-12.19,96,100,3.03,KZ,1702352544
225,burutu,5.3509,5.5076,26.36,82,74,1.08,NG,1702352544
226,villa gesell,-37.2639,-56.973,20.59,88,3,8.54,AR,1702352545
227,las lomas,8.4333,-82.4,27.55,93,20,4.47,PA,1702352545
228,penzance,50.1186,-5.5371,12.38,89,19,11.2,GB,1702352545
229,yuzhno-kurilsk,44.0306,145.8556,0.76,76,100,4.74,RU,1702352545
230,the pas,53.8251,-101.2541,-9.99,62,100,11.32,CA,1702352545
231,yoichi,43.2039,140.7703,0.23,92,100,3.75,JP,1702352545
232,vikulovo,56.8167,70.6107,-35.86,100,8,1.61,RU,1702352545
233,springbok,-29.6643,17.8865,12.77,33,0,1.69,ZA,1702352546
234,belel,7.05,14.4333,14.2,34,86,2.21,CM,1702352546
235,koungheul,13.9833,-14.8,22.36,20,20,1.97,SN,1702352546
236,axim,4.8699,-2.2405,25.95,84,7,1.38,GH,1702352546
237,usogorsk,63.4106,48.6872,-15.74,92,100,4.98,RU,1702352546
238,angol,-37.8,-72.7167,10.53,88,95,2.04,CL,1702352546
239,fort bragg,35.139,-79.006,3.79,85,0,0.0,US,1702352306
240,tuy hoa,13.0833,109.3,26.31,76,99,2.85,VN,1702352547
